title,rate,cuisine,location,address,street,price_from,price_till,url
Teraza Coffee Backyard,4.20,['Kafe'],Cisangkuy,,"Jl. Cisangkuy No. 6, Cisangkuy, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/teraza-coffee-backyard-cisangkuy
Butter Luna Crepes Bolu Bakar,4.36,,['Kopo'],Ruko Pasar Segar,"Jl. Taman Kopo Indah II, Kopo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/butter-luna-crepes-bolu-bakar-kopo
Myeong Gal Korean BBQ,4.36,['Korea'],Pasteur,"D'Botanica, Lantai Lower Ground","Jl. Dr. Djunjunan No. 143 - 149, Pasteur, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/myeong-gal-korean-bbq-pasteur
Fish & Co.,4.00,['Barat'],Sukajadi,"Paris Van Java, Lantai Ground (Resort Level)","Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/fish-dan-co-sukajadi
Mujigae,3.94,['Korea'],Pasir Koja,"Festival Citylink, Lantai 1","Jl. Peta No. 241, Pasir Koja, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/mujigae-pasir-koja
Grand Wing Heng,4.27,['China'],Mekar Wangi,,"Jl. Mekar Laksana No. 8B, Mekar Wangi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/grand-wing-heng-mekar-wangi
Lamansua,4.23,['Kafe'],Dago Bawah,,"Jl. Sawunggaling No. 5, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/lamansua-dago-bawah
Harris Cafe - Harris Hotel & Conventions Ciumbuleuit Bandung,4.17,"['Indonesia', 'Barat', 'Jepang']",Ciumbuleuit,Harris Hotel & Conventions Ciumbuleuit Bandung,"Jl. Ciumbuleuit No. 50 - 58, Ciumbuleuit, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/harris-cafe-harris-hotel-dan-conventions-ciumbuleuit-bandung-ciumbuleuit
Sucre Patissier and Chocolatier,4.17,['Toko Kue'],Lengkong,,"Jl. Kaca Kaca Wetan No. 3B, Lengkong, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/sucre-patissier-and-chocolatier-lengkong
Coca Suki Restaurant,4.05,['Thailand'],Dago Atas,,"Jl. Bukit Pakar Timur No. 24, Dago Atas, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/coca-suki-restaurant-dago-atas
Wimpy Company,4.67,['Kafe'],Marta Negara,,"Jl. RH Hasan Saputra Raya No. 12, Marta Negara, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/wimpy-company-marta-negara
Eureka Coffee & Kitchen,4.67,['Kafe'],Lengkong,,"Jl. Lengkong Kecil No. 68, Lengkong, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/eureka-coffee-dan-kitchen-lengkong
Marugame Udon,4.06,['Jepang'],Gatot Subroto,"Trans Studio Mall Bandung, Lantai 2","Jl. Gatot Subroto No. 289, Gatot Subroto, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/marugame-udon-gatot-subroto
Waroeng Ethnic,4.02,"['Indonesia', 'Barat']",Ciumbuleuit,,"Jl. Ranca Bentang No. 18, Ciumbuleuit, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/waroeng-ethnic-ciumbuleuit
